objectid,title,descriptor,location,date,libby_age,keyword,file_name,format,file_date,file_size,rights
LP.1,libby protest,libby protesting family vacation without her,leclaire ia,6/28/2014,7,protest,IMG_1503,jpg,6/28/2014,856KB,kate ramsdell
LP.2,beanbag snuggle,libby sleeping on sarah's beanbag,leclaire ia,6/29/2014,7,beanbag,IMG_1378,jpg,7/8/2014,635KB,sarah ramsdell
LP.3,christmas treat,libby running around with large bone in kitchen,leclaire ia,6/30/2014,8,treat,IMG_0006,jpg,12/25/2016,1.79MB,sarah ramsdell
LP.4,rise and shine,libby wrapped in sarah's bedsheets,leclaire ia,7/1/2014,9,bedsheets,IMG_0148,jpg,2/10/2017,1.83MB,sarah ramsdell
LP.5,funky sleep,libby sleeping on the couch with her back paws on the upper cushion ,leclaire ia,7/2/2014,9,sleep,IMG_0177,jpg,2/13/2017,1.20MB,sarah ramsdell
LP.6,favorite toy,libbyplaying with her favorite toy named lamby on kate's bed,leclaire ia,7/3/2014,9,lamby,IMG_0192,jpg,2/17/2017,1.25MB,kate ramsdell
LP.7,human nap,libby sleeping like a human on the parlor couch,leclaire ia,7/4/2014,9,nap,IMG_0548,jpg,5/31/2017,596KB,sarah ramsdell
LP.8,snuggled up,libby laying on the couch snuggled up in the corner,leclaire ia,7/5/2014,9,snuggle,IMG_0578,jpg,6/6/2017,915KB,sarah ramsdell
LP.9,chair time,libby laying on the chair in the parlor with one paw on the armrest,leclaire ia,7/6/2014,10,chair,IMG_1350,jpg,9/30/2017,694KB,sarah ramsdell
LP.10,road trip,libby standing on the center console of the vehicle looking out the windshield,leclaire ia,7/7/2014,10,trip,IMG_1750,jpg,7/27/2018,2.04MB,kate ramsdell
LP.11,snow day,libby waiting to come inside from playing in the snow,leclaire ia,7/8/2014,11,snow,IMG_2539,jpg,3/17/2019,1.75MB,kate ramsdell
LP.12,wet dog,libby with wet fur from swimming in the lake,coralville ia,7/9/2014,12,wet,IMG_5039,jpg,9/1/2019,3.86MB,sarah ramsdell
LP.13,people watching,libby watching the world go by in the front yard,leclaire ia ,7/10/2014,13,people_watching,IMG_5154,jpg,11/21/2020,288KB,sarah ramsdell
LP.14,share the food,libby begging for my food,leclaire ia,7/11/2014,13,food,IMG_5958,jpg,4/17/2021,198KB,sarah ramsdell
LP.15,graduation kisses,sarah giving kisses to libby before graduation,leclaire ia,7/12/2014,13,graduation,IMG_6196,jpg,6/1/2021,255KB,kate ramsdell
