objectid,title,descriptor,location,date,libby_age,keyword,filename,format,filedate,filesize,rights
LP.1,libby protest,libby protesting family vacation without her,leclaire ia,2014-06-28,7,protest,LP.1/JPG,jpg,2014-06-28,856KB,kate ramsdell
LP.2,beanbag snuggle,libby sleeping on sarah's beanbag,leclaire ia,2014-07-28,7,beanbag,LP.2/JPG,jpg,2014-07-08,635KB,sarah ramsdell
LP.3,christmas treat,libby running around with large bone in kitchen,leclaire ia,2016-12-25,8,treat,LP.3/JPG,jpg,2016-12-25,1.79MB,sarah ramsdell
LP.4,rise and shine,libby wrapped in sarah's bedsheets,leclaire ia,2017-02-10,9,bedsheets,LP.4/JPG,jpg,2017-02-10,1.83MB,sarah ramsdell
LP.5,funky sleep,libby sleeping on the couch with her back paws on the upper cushion ,leclaire ia,2017-02-13,9,sleep,LP.5/JPG,jpg,2017-02-13,1.20MB,sarah ramsdell
LP.6,favorite toy,libbyplaying with her favorite toy named lamby on kate's bed,leclaire ia,2017-02-17,9,lamby,LP.6/JPG,jpg,2017-02-17,1.25MB,kate ramsdell
LP.7,human nap,libby sleeping like a human on the parlor couch,leclaire ia,2017-05-31,9,nap,LP.7/JPG,jpg,2017-05-31,596KB,sarah ramsdell
LP.8,snuggled up,libby laying on the couch snuggled up in the corner,leclaire ia,2017-06-06,9,snuggle,LP.8/JPG,jpg,2017-06-06,915KB,sarah ramsdell
LP.9,chair time,libby laying on the chair in the parlor with one paw on the armrest,leclaire ia,2017-09-30,10,chair,LP.9/JPG,jpg,2017-09-30,694KB,sarah ramsdell
LP.10,road trip,libby standing on the center console of the vehicle looking out the windshield,leclaire ia,2018-07-27,10,trip,LP/10.jpg,jpg,2018-07-27,2.04MB,kate ramsdell
LP.11,snow day,libby waiting to come inside from playing in the snow,leclaire ia,2019-03-17,11,snow,LP.11/JPG,jpg,2019-03-17,1.75MB,kate ramsdell
LP.12,wet dog,libby with wet fur from swimming in the lake,coralville ia,2019-09-01,12,wet,LP.12/PG,jpg,2019-09-01,3.86MB,sarah ramsdell
LP.13,people watching,libby watching the world go by in the front yard,leclaire ia ,2020-11-21,13,people_watching,LP.13/JPG,jpg,2020-11-21,288KB,sarah ramsdell
LP.14,share the food,libby begging for my food,leclaire ia,2021-04-17,13,food,LP.14/JPG,jpg,2021-04-17,198KB,sarah ramsdell
LP.15,graduation kisses,sarah giving kisses to libby before graduation,leclaire ia,2021-06-01,13,graduation,LP.15/jpg,jpg,2021-06-01,255KB,kate ramsdell
